日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/06/30,274869,249925,109.98,200375,191662,104.55,
2023/06/29,282699,299994,94.23,171713,166082,103.39,
2023/06/28,439542,450283,97.61,111712,112144,99.61,
2023/06/27,377072,371020,101.63,174369,203342,85.75,
2023/06/26,252846,261715,96.61,148977,159199,93.58,
2023/06/21,433352,423931,102.22,89396,98955,90.34,
2023/06/20,346368,383557,90.30,320506,304277,105.33,
2023/06/19,284900,306382,92.99,313885,281709,111.42,
2023/06/16,257381,299094,86.05,289369,266983,108.38,
2023/06/15,264405,278866,94.81,260874,236623,110.25,
2023/06/14,584250,656080,89.05,213373,190375,112.08,
2023/06/13,532159,546222,97.43,331586,254913,130.08,
2023/06/12,365626,344013,106.28,295411,261733,112.87,
2023/06/09,276201,267694,103.18,258770,249895,103.55,
2023/06/08,306606,367030,83.54,221215,241968,91.42,
2023/06/07,546285,507828,107.57,180961,178490,101.38,
2023/06/06,318831,314423,101.40,298255,271384,109.90,
2023/06/05,363679,412850,88.09,275139,259357,106.09,
2023/06/02,358093,320129,111.86,252448,220493,114.49,
2023/06/01,242908,252221,96.31,212656,209178,101.66,
